date,amount,description
2023-01-05,120.50,Grocery shopping at Safeway
2023-01-10,45.00,Gas station fill-up
2023-01-15,85.25,Restaurant dinner with friends
2023-01-20,12.99,Netflix subscription
2023-01-25,35.99,Internet bill payment
2023-01-30,60.00,Electric bill
2023-02-03,145.30,Grocery shopping at Whole Foods
2023-02-08,48.50,Uber rides to work
2023-02-12,75.00,Haircut and styling
2023-02-15,14.99,Spotify premium
2023-02-20,110.00,Water and sewage bill
2023-02-28,1200.00,Rent payment
2023-03-02,130.45,Grocery shopping at Trader Joe's
2023-03-05,42.00,Gas station
2023-03-10,65.75,Dinner at local restaurant
2023-03-15,9.99,Amazon Prime
2023-03-18,29.99,Phone bill
2023-03-25,58.00,Electric bill
2023-03-30,22.50,Coffee shop meetings (weekly)
2023-04-01,1200.00,Rent payment
2023-04-05,165.20,Grocery shopping at Safeway
2023-04-10,51.00,Gas station fill-up
2023-04-15,110.00,Fancy restaurant for anniversary
2023-04-20,12.99,Netflix subscription
2023-04-25,35.99,Internet bill payment
2023-04-30,63.50,Electric bill
2023-05-03,140.75,Grocery shopping at local market
2023-05-08,47.00,Uber rides around town
2023-05-12,85.00,Spa day
2023-05-15,14.99,Spotify premium
2023-05-20,105.00,Water and sewage bill
2023-05-28,1200.00,Rent payment
2023-05-30,350.00,New winter jacket
2023-06-02,125.45,Grocery shopping
2023-06-05,45.00,Gas station
2023-06-10,70.25,Dinner with colleagues
2023-06-15,9.99,Amazon Prime
2023-06-18,29.99,Phone bill
2023-06-25,62.00,Electric bill
2023-06-30,25.50,Coffee shops
